all_frac,best_frac,best_match,best_match_dk,entropy,idx,n_matches,top_occurence,w
0.11490683229813664,0.38046272493573263,EU, EU _ eu,1.4487135640428048,899,389,1288,dethandlerommennesker
0.005789270551910459,0.30612244897959184,Foreign affairs,udenrig_ forsvaret _militær,1.9414401064425606,987,49,2591,svare
0.47623400365630714,0.6983914209115282,Religion, religi_ værdipol,1.0097905958619497,2630,746,1094,naser
0.23177723177723178,0.6505747126436782,Economy, økonom_ vækst,1.2466719294011686,2276,435,1221,corydon
0.03527336860670194,0.20100502512562815,Taxes,skat,2.300118506817274,1906,199,1134,brian
0.042993630573248405,0.22131147540983606,Taxes,skat,2.282638179395882,2324,122,628,mikkelsen
3.874629812438302,0.9961928934010152,Foreign affairs,udenrig_ forsvaret _militær,0.026913891819071514,3593,3940,1013,clinton
0.4672163719451619,0.7649642160052049,Environment, klima_ miljø _ naturen ,0.6873679901167542,518,6148,10066,natur
0.26242690058479534,0.6830289193302892,Environment, klima_ miljø _ naturen ,0.8139650060766833,902,2628,6840,naturen
0.46906474820143884,0.5640138408304498,Environment, klima_ miljø _ naturen ,0.8277949072998847,2925,578,695,skov
1.2428091146806126,0.988560392215124,Culture,kunst _musik_museum_kulturpol,0.07246695531100496,1025,6731,5354,sang
0.05515929624346172,0.3853820598006645,Economy, økonom_ vækst,1.5667084092368193,2136,602,4206,uber
2.696711021842832,0.9906843755764619,Science,forskning_ universitet_videregående udd,0.06705674270042794,1373,10842,3983,universitet
0.040372670807453416,0.3132530120481928,Taxes,skat,1.9382878625010167,1579,83,644,jesper
0.006472491909385114,0.3333333333333333,Foreign affairs,udenrig_ forsvaret _militær,1.329661348854758,1549,6,309,christensen
0.018969605518430695,0.37446808510638296,Economy, økonom_ vækst,2.0603984676510483,147,470,9278,dagens
0.09090909090909091,0.42857142857142855,Foreign affairs,udenrig_ forsvaret _militær,1.277034259466139,4776,7,33,kinesiske
1.0744525547445256,0.9993211133740665,Foreign affairs,udenrig_ forsvaret _militær,0.006063293322881164,6165,4419,4110,president
0.5583333333333333,0.9710144927536232,Foreign affairs,udenrig_ forsvaret _militær,0.13119781096951133,10710,69,120,meeting
2.1283316880552814,0.998610467809171,Foreign affairs,udenrig_ forsvaret _militær,0.011414461170017164,4241,2159,1013,donald
0.19444444444444445,0.7,Foreign affairs,udenrig_ forsvaret _militær,0.8018185525433373,30089,10,36,january
0.020910209102091022,0.5,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,1.4599425807191366,646,34,813,minister
0.02823529411764706,0.3987341772151899,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,1.5649065516399596,199,632,8925,flertal
0.4384727626459144,0.4956019791094008,Economy, økonom_ vækst,1.3653283888942647,124,3638,4112,regeringens
0.06984126984126984,0.2391304347826087,Crime,kriminal_kriminel,2.350035562623476,3277,92,315,karina
0.01862464183381089,0.38235294117647056,Foreign affairs,udenrig_ forsvaret _militær,1.8298641419842192,212,68,1396,side
0.05,0.4019607843137255,Science,forskning_ universitet_videregående udd,1.662682611988164,67,102,820,netop
0.08695652173913043,0.5,Foreign affairs,udenrig_ forsvaret _militær,1.0397207708399179,3350,4,23,henning
0.047619047619047616,0.25,Economy, økonom_ vækst,1.9061547465398496,3706,8,42,lone
0.016172506738544475,0.75,Foreign affairs,udenrig_ forsvaret _militær,0.7356219397587946,1585,8,371,r
1.3142963792459874,0.9401869158878504,Economy, økonom_ vækst,0.31011330331738857,435,3745,2679,økonomi
0.05360882311880497,0.434881087202718,Religion, religi_ værdipol,1.281234778204641,739,883,7163,ligestilling
0.8836317135549873,0.8275449101796407,Taxes,skat,0.7748226838615824,1985,835,782,karsten
1.8661417322834646,0.8568329718004338,EU, EU _ eu,0.5290848948343897,1340,1383,635,frankrig
0.3472222222222222,0.8620689655172413,Foreign affairs,udenrig_ forsvaret _militær,0.5445996236821669,1858,29,72,gade
1.2577334283677832,0.8926547956292998,Immigration,indvandr_flygt_udlænding,0.4116155133860804,117,19768,14030,hjælpe
0.08746618575293057,0.26287262872628725,Crime,kriminal_kriminel,2.4419817101128967,2912,369,1109,manu
0.059063136456211814,0.1870967741935484,Crime,kriminal_kriminel,2.5066845828165296,3672,155,491,sareen
0.2578125,0.44594594594594594,Foreign affairs,udenrig_ forsvaret _militær,1.939936232911221,30088,74,128,fox
2.0,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,5292,2,1,arabien
0.10810810810810811,0.5,Foreign affairs,udenrig_ forsvaret _militær,1.3862943611198906,8967,8,37,los
0.2222222222222222,0.6,Foreign affairs,udenrig_ forsvaret _militær,1.2706817223249798,4486,20,54,come
0.026512013256006627,0.35555555555555557,Foreign affairs,udenrig_ forsvaret _militær,1.8692238667532972,519,90,1207,talt
0.16158536585365854,0.5096153846153846,Foreign affairs,udenrig_ forsvaret _militær,1.4531473230485028,297,104,328,overfor
4.049668874172186,0.9994551893217107,Foreign affairs,udenrig_ forsvaret _militær,0.004638953826267736,4224,3671,906,israels
0.15216506040450659,0.8479576399394856,Economy, økonom_ vækst,0.7562276088385926,95,1322,7367,handler
0.06976744186046512,0.3333333333333333,EU, EU _ eu,1.6769877743224173,386,9,43,vigtig
0.00468384074941452,0.3333333333333333,Foreign affairs,udenrig_ forsvaret _militær,1.5607104090414063,352,6,427,arbejdet
0.0025906735751295338,0.3333333333333333,EU, EU _ eu,1.3296613488547582,338,6,772,valgt
0.06614785992217899,0.30357142857142855,Culture,kunst _musik_museum_kulturpol,1.8660155887626133,942,56,257,positive
0.03373748023194518,0.23357664233576642,Economy, økonom_ vækst,1.7739671641503265,1188,822,5691,3f
0.36904761904761907,0.8157894736842105,Employment, beskæftig,0.6035172742126115,2154,38,84,lo
0.1267605633802817,0.375,EU, EU _ eu,1.3256478681964805,546,24,71,medlemmer
0.3333333333333333,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,2561,1,3,fattigste
1.631027253668763,0.9910828025477707,Foreign affairs,udenrig_ forsvaret _militær,0.06692382767496995,1943,2355,1431,fly
4.566037735849057,0.9979381443298969,Foreign affairs,udenrig_ forsvaret _militær,0.014810551038823918,3984,485,106,washington
0.6603015075376885,0.7887154861944778,Crime,kriminal_kriminel,0.7164121604371957,1437,833,995,overgreb
0.18226600985221675,0.47844827586206895,Foreign affairs,udenrig_ forsvaret _militær,1.456250648084813,2003,232,609,marie
1.0,1.0,Foreign affairs,udenrig_ forsvaret _militær,0.0,1641,1,1,formanden
1.1355932203389831,0.9591002044989775,Foreign affairs,udenrig_ forsvaret _militær,0.22970985597784624,349,978,826,kamp
0.03278688524590164,0.5714285714285714,Education,undervis_folkeskole_ungdomsuddan,0.9556998911125343,377,7,122,tænker
2.159090909090909,0.979381443298969,Environment, klima_ miljø _ naturen ,0.10043676135728728,2033,97,44,globale
0.8702997275204359,0.9821648216482165,Economy, økonom_ vækst,0.11394695198179065,1118,1626,1835,fyn
0.7195121951219512,0.9301801801801802,Economy, økonom_ vækst,0.3728867466395151,2279,1332,1722,ærø
0.1873589164785553,0.8058252427184466,Economy, økonom_ vækst,0.8827526088243063,1737,103,443,svendborg
0.07488986784140969,0.3148148148148148,Economy, økonom_ vækst,1.9037052401986694,2044,54,227,steen
0.02586206896551724,0.42857142857142855,Economy, økonom_ vækst,1.277034259466139,443,7,116,nuværende
0.0319634703196347,0.3333333333333333,Crime,kriminal_kriminel,1.663618983397034,4614,42,438,bock
0.06430446194225722,0.6533333333333333,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,1.270874213562907,441,75,762,socialdemokratiet
0.9111111111111111,0.9875912408759124,Immigration,indvandr_flygt_udlænding,0.08722165557126915,1319,1370,1485,indvandrere
0.23585950619930682,0.6243851683692774,Religion, religi_ værdipol,1.4582068500554917,27,10572,27987,mener
0.6156421908634298,0.6678775298391282,Immigration,indvandr_flygt_udlænding,1.2672219623039809,145,3854,4181,danskere
